Breakdown,2021-10-31,2020-10-31,2019-10-31,2018-10-31
researchDevelopment,92700000,93300000,86700000,84800000
effectOfAccountingCharges,,,,
incomeBeforeTax,491500000,266500000,477400000,331900000
minorityInterest,200000,200000,200000,200000
netIncome,2944700000,238400000,466700000,139900000
sellingGeneralAdministrative,1142400000,990900000,993300000,973300000
grossProfit,1985200000,1624900000,1756800000,1632300000
ebit,604000000,403500000,531000000,427500000
operatingIncome,604000000,403500000,531000000,427500000
otherOperatingExpenses,,,,
interestExpense,-23100000,-36800000,-68000000,-82700000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-2453200000,28100000,10700000,192000000
totalRevenue,2922500000,2430900000,2653400000,2532800000
totalOperatingExpenses,2318500000,2027400000,2122400000,2105300000
costOfRevenue,937300000,806000000,896600000,900500000
totalOtherIncomeExpenseNet,-112500000,-137000000,-53600000,-95600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2944700000,238400000,466700000,139900000
netIncomeApplicableToCommonShares,2944700000,238400000,466700000,139900000
