Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12712000000,-3140000000,9524000000,9973000000
minorityInterest,,,69000000.0,125000000.0
netIncome,8079000000,-2701000000,7189000000,6257000000
sellingGeneralAdministrative,740000000,442000000,639000000,585000000
grossProfit,22936000000,6794000000,16182000000,17984000000
ebit,12801000000,-1628000000,7435000000,9673000000
operatingIncome,12801000000,-1628000000,7435000000,9673000000
otherOperatingExpenses,1851000000,1002000000,1275000000,1401000000
interestExpense,-884000000,-806000000,-778000000,-735000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4633000000,-485000000,2267000000,3668000000
totalRevenue,46660000000,19216000000,33346000000,37491000000
totalOperatingExpenses,33859000000,20844000000,25911000000,27818000000
costOfRevenue,23724000000,12422000000,17164000000,19507000000
totalOtherIncomeExpenseNet,-89000000,-1512000000,2089000000,300000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8079000000,-2655000000,7257000000,6305000000
netIncomeApplicableToCommonShares,8079000000,-2701000000,7189000000,6257000000
