Breakdown,2021-08-01,2020-08-02,2019-07-28,2018-07-29
researchDevelopment,84000000,92000000,88000000,91000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1336000000,766000000,625000000,830000000
minorityInterest,2000000,6000000,9000000,9000000
netIncome,1002000000,1628000000,211000000,261000000
sellingGeneralAdministrative,1386000000,1519000000,1383000000,1177000000
grossProfit,2814000000,3008000000,2711000000,2461000000
ebit,1572000000,1334000000,1145000000,1404000000
operatingIncome,1572000000,1334000000,1145000000,1404000000
otherOperatingExpenses,-228000000,63000000,95000000,-211000000
interestExpense,-210000000,-345000000,-356000000,-183000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,328000000,174000000,151000000,106000000
totalRevenue,8476000000,8691000000,8107000000,6615000000
totalOperatingExpenses,6904000000,7357000000,6962000000,5211000000
costOfRevenue,5662000000,5683000000,5396000000,4154000000
totalOtherIncomeExpenseNet,-236000000,-568000000,-520000000,-574000000
discontinuedOperations,-6000000,1036000000,-263000000,-463000000
netIncomeFromContinuingOps,1008000000,592000000,474000000,724000000
netIncomeApplicableToCommonShares,1002000000,1628000000,211000000,261000000
