Breakdown,2021-12-25,2020-12-26,2019-12-28,2018-12-29
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,480710000,447114000,304084000,281681000
minorityInterest,57172000,29066000,31891000,20971000
netIncome,390982000,364304000,252019000,226373000
sellingGeneralAdministrative,578226000,511282000,487687000,435642000
grossProfit,1337470000,1078914000,965026000,842686000
ebit,634387000,455755000,387801000,342214000
operatingIncome,634387000,455755000,387801000,342214000
otherOperatingExpenses,,,,
interestExpense,-73910000,-86433000,-60882000,-63772000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,81873000,81808000,50023000,54463000
totalRevenue,3540160000,2923933000,2621226000,2266096000
totalOperatingExpenses,2905773000,2468178000,2233425000,1923882000
costOfRevenue,2202690000,1845019000,1656200000,1423410000
totalOtherIncomeExpenseNet,-153677000,-8641000,-83717000,-60533000
discontinuedOperations,,,,1506000.0
netIncomeFromContinuingOps,398837000,365306000,254061000,227218000
netIncomeApplicableToCommonShares,390982000,364304000,252019000,226373000
