Breakdown,2022-01-31,2021-01-31,2020-01-31,2019-01-31
researchDevelopment,4465000000,3598000000,2766000000,1886000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1532000000,2561000000,706000000,983000000
minorityInterest,,,,
netIncome,1444000000,4072000000,126000000,1110000000
sellingGeneralAdministrative,14399000000,11761000000,9634000000,7410000000
grossProfit,19466000000,15814000000,12863000000,9831000000
ebit,602000000,455000000,463000000,535000000
operatingIncome,602000000,455000000,463000000,535000000
otherOperatingExpenses,,,,
interestExpense,-220000000,-126000000,-126000000,-126000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,88000000,-1511000000,580000000,-127000000
totalRevenue,26492000000,21252000000,17098000000,13282000000
totalOperatingExpenses,25890000000,20797000000,16635000000,12747000000
costOfRevenue,7026000000,5438000000,4235000000,3451000000
totalOtherIncomeExpenseNet,930000000,2106000000,243000000,448000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1444000000,4072000000,126000000,1110000000
netIncomeApplicableToCommonShares,1444000000,4072000000,126000000,1110000000
