Breakdown,2021-07-31,2020-07-25,2019-07-27,2018-07-28
researchDevelopment,6549000000,6347000000,6577000000,6332000000
effectOfAccountingCharges,,,,
incomeBeforeTax,13262000000,13970000000,14571000000,13039000000
minorityInterest,,,,
netIncome,10591000000,11214000000,11621000000,110000000
sellingGeneralAdministrative,11365000000,11073000000,11377000000,11345000000
grossProfit,31894000000,31683000000,32666000000,30733000000
ebit,13765000000,14122000000,14562000000,12835000000
operatingIncome,13765000000,14122000000,14562000000,12835000000
otherOperatingExpenses,,,,
interestExpense,-434000000,-585000000,-859000000,-943000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2671000000,2756000000,2950000000,12929000000
totalRevenue,49818000000,49301000000,51904000000,49330000000
totalOperatingExpenses,36053000000,35179000000,37342000000,36495000000
costOfRevenue,17924000000,17618000000,19238000000,18597000000
totalOtherIncomeExpenseNet,-503000000,-152000000,9000000,204000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,10591000000,11214000000,11621000000,110000000
netIncomeApplicableToCommonShares,10591000000,11214000000,11621000000,110000000
