Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4951000000,3627000000,4316000000,4304000000
minorityInterest,10000000,9000000,15000000,17000000
netIncome,3781000000,2765000000,3331000000,3309000000
sellingGeneralAdministrative,,,,
grossProfit,6643000000,5760000000,6228000000,6262000000
ebit,5223000000,4377000000,4879000000,4931000000
operatingIncome,5223000000,4377000000,4879000000,4931000000
otherOperatingExpenses,,,,
interestExpense,-722000000,-754000000,-737000000,-639000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1170000000,862000000,985000000,995000000
totalRevenue,12522000000,10583000000,11937000000,12250000000
totalOperatingExpenses,7299000000,6206000000,7058000000,7319000000
costOfRevenue,5879000000,4823000000,5709000000,5988000000
totalOtherIncomeExpenseNet,-272000000,-750000000,-563000000,-627000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3781000000,2765000000,3331000000,3309000000
netIncomeApplicableToCommonShares,3781000000,2765000000,3331000000,3308000000
