Breakdown,2022-05-31,2021-05-31,2020-05-31,2019-05-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1498768000,1287749000,1058291000,1102399000
minorityInterest,,,,
netIncome,1235757000,1110968000,876037000,884981000
sellingGeneralAdministrative,2039762000,1919939000,2071052000,1980644000
grossProfit,3632246000,3314651000,3233748000,3128588000
ebit,1592484000,1394712000,1162696000,1147944000
operatingIncome,1592484000,1394712000,1162696000,1147944000
otherOperatingExpenses,,,,
interestExpense,-88844000,-98210000,-105393000,-101736000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,263011000,176781000,181931000,219764000
totalRevenue,7854459000,7116340000,7085120000,6892303000
totalOperatingExpenses,6261975000,5721628000,5922424000,5744359000
costOfRevenue,4222213000,3801689000,3851372000,3763715000
totalOtherIncomeExpenseNet,-93716000,-106963000,-104405000,-45545000
discontinuedOperations,,,-323000.0,2346000.0
netIncomeFromContinuingOps,1235757000,1110968000,876360000,882635000
netIncomeApplicableToCommonShares,1229625000,1103345000,867879000,875413000
