Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1502000000,242000000,900000000,698137000
minorityInterest,,,,
netIncome,1158000000,201000000,681000000,557043000
sellingGeneralAdministrative,164000000,106000000,95000000,96641000
grossProfit,2851000000,761000000,1333000000,1393141000
ebit,1672000000,296000000,876000000,786991000
operatingIncome,1672000000,296000000,876000000,786991000
otherOperatingExpenses,304000000,-47000000,-64000000,-21790000
interestExpense,-62000000,-54000000,-55000000,-73201000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,344000000,41000000,219000000,141094000
totalRevenue,3670000000,1405000000,1985000000,2143716000
totalOperatingExpenses,1998000000,1109000000,1109000000,1356725000
costOfRevenue,819000000,644000000,652000000,750575000
totalOtherIncomeExpenseNet,-170000000,-54000000,24000000,-88854000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1158000000,201000000,681000000,557043000
netIncomeApplicableToCommonShares,1155000000,201000000,681000000,557043000
