Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2830000000,2096000000,2485000000,2799000000
minorityInterest,,,,
netIncome,2137000000,1392000000,1842000000,2101000000
sellingGeneralAdministrative,3533000000,3123000000,2855000000,3007000000
grossProfit,6914000000,6060000000,6149000000,6287000000
ebit,2807000000,2385000000,2787000000,2820000000
operatingIncome,2807000000,2385000000,2787000000,2820000000
otherOperatingExpenses,,,,
interestExpense,-9000000,-24000000,-26000000,-27000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,693000000,704000000,643000000,698000000
totalRevenue,18507000000,16652000000,16783000000,16125000000
totalOperatingExpenses,15700000000,14267000000,13996000000,13305000000
costOfRevenue,11593000000,10592000000,10634000000,9838000000
totalOtherIncomeExpenseNet,23000000,-289000000,-302000000,-21000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2137000000,1392000000,1842000000,2101000000
netIncomeApplicableToCommonShares,2137000000,1392000000,1842000000,2101000000
