Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,581600000,538080000,518877000,439984000
effectOfAccountingCharges,,,,
incomeBeforeTax,167147000,554880000,509500000,629455000
minorityInterest,,,,
netIncome,307499000,504446000,681813000,575667000
sellingGeneralAdministrative,1587787000,1573186000,1453385000,1389577000
grossProfit,2683488000,2770936000,2597857000,2587159000
ebit,375843000,624089000,571565000,694685000
operatingIncome,375843000,624089000,571565000,694685000
otherOperatingExpenses,,,,
interestExpense,-91793000,-64687000,-45974000,-80162000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-140352000,50434000,-172313000,53788000
totalRevenue,3217170000,3236700000,3010564000,2973903000
totalOperatingExpenses,2841327000,2612611000,2438999000,2279218000
costOfRevenue,533682000,465764000,412707000,386744000
totalOtherIncomeExpenseNet,-208696000,-69209000,-62065000,-65230000
discontinuedOperations,,,,
netIncomeFromContinuingOps,307499000,504446000,681813000,575667000
netIncomeApplicableToCommonShares,307499000,504446000,681813000,575667000
