Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10420000000,9770000000,8997000000,1406000000
minorityInterest,306000000,312000000,306000000,318000000
netIncome,7910000000,7179000000,6634000000,-594000000
sellingGeneralAdministrative,37072000000,34585000000,32699000000,20827000000
grossProfit,50849000000,48248000000,44517000000,30878000000
ebit,13777000000,13663000000,11818000000,10051000000
operatingIncome,13777000000,13663000000,11818000000,10051000000
otherOperatingExpenses,,,,
interestExpense,-2503000000,-2907000000,-3035000000,-2619000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2522000000,2569000000,2366000000,2002000000
totalRevenue,290912000000,267908000000,255765000000,193919000000
totalOperatingExpenses,277135000000,254245000000,243947000000,183868000000
costOfRevenue,240063000000,219660000000,211248000000,163041000000
totalOtherIncomeExpenseNet,-3357000000,-3893000000,-2821000000,-8645000000
discontinuedOperations,,-9000000.0,-9000000.0,-9000000.0
netIncomeFromContinuingOps,7898000000,7201000000,6631000000,-596000000
netIncomeApplicableToCommonShares,7910000000,7179000000,6629000000,-597000000
