Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,21639000000,-7453000000,5536000000,20575000000
minorityInterest,873000000,1038000000,995000000,1088000000
netIncome,15625000000,-5543000000,2924000000,14824000000
sellingGeneralAdministrative,25428000000,25416000000,25945000000,24942000000
grossProfit,66234000000,43983000000,59752000000,64324000000
ebit,15860000000,-4178000000,10478000000,14624000000
operatingIncome,15860000000,-4178000000,10478000000,14624000000
otherOperatingExpenses,6886000000,4492000000,4138000000,4864000000
interestExpense,-712000000,-697000000,-798000000,-748000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5950000000,-1892000000,2691000000,5715000000
totalRevenue,155606000000,94471000000,139865000000,158902000000
totalOperatingExpenses,139746000000,98649000000,129387000000,144278000000
costOfRevenue,89372000000,50488000000,80113000000,94578000000
totalOtherIncomeExpenseNet,5779000000,-3275000000,-4942000000,5951000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,15689000000,-5561000000,2845000000,14860000000
netIncomeApplicableToCommonShares,15625000000,-5543000000,2924000000,14824000000
