Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1269000000,-1606000000,125000000,135000000
minorityInterest,61000000,18000000,18000000,18000000
netIncome,-1019000000,-1757000000,81000000,95000000
sellingGeneralAdministrative,2091000000,1097000000,569000000,427000000
grossProfit,4924000000,1782000000,1239000000,925000000
ebit,1707000000,102000000,448000000,341000000
operatingIncome,1707000000,102000000,448000000,341000000
otherOperatingExpenses,,,,
interestExpense,-2295000000,-1202000000,-286000000,-172000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-283000000,132000000,44000000,40000000
totalRevenue,9571000000,3628000000,2528000000,2056000000
totalOperatingExpenses,7864000000,3526000000,2080000000,1715000000
costOfRevenue,4647000000,1846000000,1289000000,1131000000
totalOtherIncomeExpenseNet,-2976000000,-1708000000,-323000000,-206000000
discontinuedOperations,-30000000,-20000000,-20000000,-20000000
netIncomeFromContinuingOps,-986000000,-1738000000,81000000,95000000
netIncomeApplicableToCommonShares,-1019000000,-1757000000,81000000,95000000
