Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,398000000,-15587000000,6198000000,5151000000
minorityInterest,,,,
netIncome,280000000,-12385000000,4767000000,3935000000
sellingGeneralAdministrative,953000000,643000000,2211000000,1941000000
grossProfit,2171000000,-3780000000,13186000000,11452000000
ebit,-2185000000,-7945000000,6567000000,5459000000
operatingIncome,-2185000000,-7945000000,6567000000,5459000000
otherOperatingExpenses,1405000000,1232000000,1827000000,1723000000
interestExpense,-1279000000,-929000000,-301000000,-311000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,118000000,-3202000000,1431000000,1216000000
totalRevenue,29899000000,17095000000,47007000000,44438000000
totalOperatingExpenses,32084000000,25040000000,40440000000,38979000000
costOfRevenue,27728000000,20875000000,33821000000,32986000000
totalOtherIncomeExpenseNet,2583000000,-7642000000,-369000000,-308000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,280000000,-12385000000,4767000000,3935000000
netIncomeApplicableToCommonShares,280000000,-12385000000,4767000000,3935000000
