Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,618000000,625000000,689000000,1070000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2196000000,-2246000000,-126000000,600000000
minorityInterest,617000000,566000000,569000000,1608000000
netIncome,6467000000,-2951000000,498000000,3845000000
sellingGeneralAdministrative,1803000000,1671000000,1985000000,2932000000
grossProfit,5850000000,4830000000,5410000000,8920000000
ebit,2704000000,1838000000,2035000000,3874000000
operatingIncome,2704000000,1838000000,2035000000,3874000000
otherOperatingExpenses,,,,
interestExpense,-525000000,-672000000,-667000000,-55000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,392000000,160000000,-2000000,195000000
totalRevenue,16653000000,14338000000,15436000000,22594000000
totalOperatingExpenses,13949000000,12500000000,13401000000,18720000000
costOfRevenue,10803000000,9508000000,10026000000,13674000000
totalOtherIncomeExpenseNet,-508000000,-4084000000,-2161000000,-3274000000
discontinuedOperations,4711000000,-517000000,724000000,3595000000
netIncomeFromContinuingOps,1804000000,-2406000000,-124000000,405000000
netIncomeApplicableToCommonShares,6467000000,-2951000000,497000000,3828000000
