Breakdown,2021-10-31,2020-11-01,2019-11-03,2018-10-28
researchDevelopment,1587000000,1589000000,1782000000,1658000000
effectOfAccountingCharges,,,,
incomeBeforeTax,7623000000,3835000000,4109000000,4098000000
minorityInterest,3000000,7000000,18000000,17000000
netIncome,5963000000,2751000000,3253000000,2368000000
sellingGeneralAdministrative,2879000000,2732000000,2999000000,2897000000
grossProfit,12188000000,8934000000,9178000000,8985000000
ebit,8094000000,4548000000,4310000000,4159000000
operatingIncome,8094000000,4548000000,4310000000,4159000000
otherOperatingExpenses,-372000000,65000000,87000000,271000000
interestExpense,-306000000,-305000000,-232000000,-268000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1658000000,1082000000,852000000,1727000000
totalRevenue,43956000000,35514000000,39233000000,37318000000
totalOperatingExpenses,35862000000,30966000000,34923000000,33159000000
costOfRevenue,31768000000,26580000000,30055000000,28333000000
totalOtherIncomeExpenseNet,-471000000,-713000000,-201000000,-61000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5965000000,2753000000,3257000000,2371000000
netIncomeApplicableToCommonShares,5963000000,2751000000,3253000000,2368000000
