Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7064000000,1435000000,3835000000,3597000000
minorityInterest,,,,
netIncome,5449000000,1141000000,2957000000,2742000000
sellingGeneralAdministrative,3685000000,3383000000,3481000000,3258000000
grossProfit,11369000000,5414000000,7819000000,7324000000
ebit,0,0,0,0
operatingIncome,7251000000,1590000000,3931000000,3680000000
otherOperatingExpenses,433000000,441000000,407000000,386000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1615000000,294000000,878000000,855000000
totalRevenue,11869000000,5954000000,8228000000,7674000000
totalOperatingExpenses,4618000000,4364000000,4297000000,3994000000
costOfRevenue,500000000,540000000,409000000,350000000
totalOtherIncomeExpenseNet,-187000000,-155000000,-96000000,-83000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5449000000,1141000000,2957000000,2742000000
netIncomeApplicableToCommonShares,5351000000,1104000000,2908000000,2689000000
