Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2677000000,1959000000,1133000000,970000000
minorityInterest,118000000,132000000,122000000,128000000
netIncome,1995000000,1431000000,858000000,736000000
sellingGeneralAdministrative,1696000000,1509000000,1457000000,1395000000
grossProfit,4243000000,3717000000,2689000000,2627000000
ebit,2446000000,2107000000,1152000000,1144000000
operatingIncome,2446000000,2107000000,1152000000,1144000000
otherOperatingExpenses,-2000000,-2000000,-16000000,-2000000
interestExpense,-152000000,-166000000,-180000000,-169000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,597000000,460000000,247000000,182000000
totalRevenue,10788000000,9437000000,7726000000,7531000000
totalOperatingExpenses,8342000000,7330000000,6574000000,6387000000
costOfRevenue,6545000000,5720000000,5037000000,4904000000
totalOtherIncomeExpenseNet,231000000,-148000000,-19000000,-174000000
discontinuedOperations,,,20000000.0,20000000.0
netIncomeFromContinuingOps,2080000000,1499000000,886000000,788000000
netIncomeApplicableToCommonShares,1988000000,1425000000,855000000,733000000
