Breakdown,2022-01-28,2021-01-29,2020-01-31,2019-02-01
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3063149000,3404380000,2201730000,2015416000
minorityInterest,,,,
netIncome,2399232000,2655050000,1712555000,1589472000
sellingGeneralAdministrative,7589731000,7161397000,6152157000,5683464000
grossProfit,10813006000,10718862000,8489061000,7803870000
ebit,3223275000,3557465000,2336904000,2120406000
operatingIncome,3223275000,3557465000,2336904000,2120406000
otherOperatingExpenses,,,,
interestExpense,-157526000,-150385000,-100574000,-99871000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,663917000,749330000,489175000,425944000
totalRevenue,34220449000,33746839000,27753973000,25625043000
totalOperatingExpenses,30997174000,30189374000,25417069000,23504637000
costOfRevenue,23407443000,23027977000,19264912000,17821173000
totalOtherIncomeExpenseNet,-160126000,-153085000,-135174000,-104990000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2399232000,2655050000,1712555000,1589472000
netIncomeApplicableToCommonShares,2399232000,2655050000,1712555000,1589472000
