Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5356300000,2983000000,2125300000,2060000000
minorityInterest,329700000,281500000,274200000,174500000
netIncome,4175800000,2373700000,1618500000,1460300000
sellingGeneralAdministrative,2067900000,1683100000,1539500000,1404200000
grossProfit,7444600000,4622000000,3650600000,3462800000
ebit,5376700000,2938900000,2111100000,2058600000
operatingIncome,5376700000,2938900000,2111100000,2058600000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1165100000,602500000,506700000,597700000
totalRevenue,27774200000,20311100000,17592900000,16068000000
totalOperatingExpenses,22397500000,17372200000,15481800000,14009400000
costOfRevenue,20329600000,15689100000,13942300000,12605200000
totalOtherIncomeExpenseNet,-20400000,44100000,14200000,1400000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4191200000,2380500000,1618600000,1462300000
netIncomeApplicableToCommonShares,4175800000,2373700000,1618500000,1460300000
