Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3218756000,2572211000,1943927000,2189175000
minorityInterest,396442000,351138000,551626000,458569000
netIncome,2410642000,1762673000,1399512000,1575091000
sellingGeneralAdministrative,2214936000,1876122000,1728069000,1437281000
grossProfit,6142823000,5459707000,4237522000,4296926000
ebit,3203035000,2869033000,1878876000,2147621000
operatingIncome,3203035000,2869033000,1878876000,2147621000
otherOperatingExpenses,,,,
interestExpense,-16174000,-12974000,-23687000,-15006000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,762810000,698275000,451358000,533684000
totalRevenue,17881106000,15493435000,12807684000,13621302000
totalOperatingExpenses,14678071000,12624402000,10928808000,11473681000
costOfRevenue,11738283000,10033728000,8570162000,9324376000
totalOtherIncomeExpenseNet,15721000,-296822000,65051000,41554000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2455946000,1873936000,1492569000,1655491000
netIncomeApplicableToCommonShares,2410642000,1762673000,1399512000,1575091000
