Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1820211000,400777000,611216000,343199000
minorityInterest,519214000,770650000,770253000,1015398000
netIncome,1709259000,356398000,579761000,331246000
sellingGeneralAdministrative,627854000,546169000,370197000,236567000
grossProfit,2791645000,2450664000,2108347000,1981474000
ebit,758009000,613041000,635558000,628093000
operatingIncome,758009000,613041000,635558000,628093000
otherOperatingExpenses,2550000,1075000,14118000,2818000
interestExpense,-293846000,-333021000,-353057000,-321529000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,72799000,38047000,11995000,2084000
totalRevenue,4426165000,3845980000,3217308000,3079457000
totalOperatingExpenses,3668156000,3232939000,2581750000,2451364000
costOfRevenue,1634520000,1395316000,1108961000,1097983000
totalOtherIncomeExpenseNet,1062202000,-212264000,-24342000,-284894000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1747412000,362730000,599221000,341115000
netIncomeApplicableToCommonShares,1681498000,263342000,493011000,249930000
