Breakdown,2022-01-29,2021-01-30,2020-02-01,2019-02-02
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1632200000,1739800000,1098700000,-1309000000
minorityInterest,,,,
netIncome,1327900000,1341900000,827000000,-1590800000
sellingGeneralAdministrative,5896800000,5650300000,5456400000,5081600000
grossProfit,7746100000,7824600000,7040700000,6947500000
ebit,1849300000,2174300000,1584300000,1800500000
operatingIncome,1849300000,2174300000,1584300000,1800500000
otherOperatingExpenses,,,,
interestExpense,-132400000,-147300000,-162100000,-213000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,304300000,397900000,271700000,281800000
totalRevenue,26321200000,25509300000,23610800000,22823300000
totalOperatingExpenses,24471900000,23335000000,22026500000,21022800000
costOfRevenue,18575100000,17684700000,16570100000,15875800000
totalOtherIncomeExpenseNet,-217100000,-434500000,-485600000,-3109500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1327900000,1341900000,827000000,-1590800000
netIncomeApplicableToCommonShares,1327900000,1341900000,827000000,-1590800000
