Breakdown,2022-05-29,2021-05-30,2020-05-31,2019-05-26
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1093500000,576500000,-161000000,782300000
minorityInterest,,,,
netIncome,952800000,629300000,-52400000,713400000
sellingGeneralAdministrative,466400000,487300000,614400000,660800000
grossProfit,1995000000,1493500000,1408400000,1849000000
ebit,1160200000,655300000,438100000,851500000
operatingIncome,1160200000,655300000,438100000,851500000
otherOperatingExpenses,,,,
interestExpense,-70600000,-65200000,-62200000,-54000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138800000,-55900000,-111800000,63700000
totalRevenue,9630000000,7196100000,7806900000,8510400000
totalOperatingExpenses,8469800000,6540800000,7368800000,7658900000
costOfRevenue,7635000000,5702600000,6398500000,6661400000
totalOtherIncomeExpenseNet,-66700000,-78800000,-599100000,-69200000
discontinuedOperations,-1900000,-3100000,-3200000,-5200000
netIncomeFromContinuingOps,954700000,632400000,-49200000,718600000
netIncomeApplicableToCommonShares,952800000,629300000,-52400000,713400000
