Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,656000000,1082000000,1013000000,1216000000
minorityInterest,8000000,164000000,164000000,480000000
netIncome,907000000,1368000000,1169000000,1120000000
sellingGeneralAdministrative,17000000,50000000,39000000,37000000
grossProfit,3336000000,3279000000,3019000000,3150000000
ebit,1511000000,1542000000,1405000000,1584000000
operatingIncome,1511000000,1542000000,1405000000,1584000000
otherOperatingExpenses,431000000,395000000,406000000,405000000
interestExpense,-630000000,-601000000,-568000000,-559000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-130000000,37000000,71000000,98000000
totalRevenue,14964000000,11423000000,12168000000,14212000000
totalOperatingExpenses,13453000000,9881000000,10763000000,12628000000
costOfRevenue,11628000000,8144000000,9149000000,11062000000
totalOtherIncomeExpenseNet,-855000000,-460000000,-392000000,-368000000
discontinuedOperations,111000000,314000000,214000000,214000000
netIncomeFromContinuingOps,786000000,1045000000,942000000,1118000000
netIncomeApplicableToCommonShares,905000000,1366000000,1167000000,1118000000
