Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3764000000,839000000,4097000000,3073000000
minorityInterest,1840000000,1220000000,1129000000,17000000
netIncome,3908000000,1377000000,3748000000,2666000000
sellingGeneralAdministrative,,,,
grossProfit,12206000000,11484000000,11576000000,10717000000
ebit,5844000000,5442000000,5721000000,5362000000
operatingIncome,5844000000,5442000000,5721000000,5362000000
otherOperatingExpenses,1389000000,1337000000,1307000000,1281000000
interestExpense,-2280000000,-2162000000,-2204000000,-2094000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,192000000,-236000000,519000000,448000000
totalRevenue,24677000000,23453000000,24658000000,24116000000
totalOperatingExpenses,18833000000,18011000000,18937000000,18754000000
costOfRevenue,12471000000,11969000000,13082000000,13399000000
totalOtherIncomeExpenseNet,-2080000000,-4603000000,-1624000000,-2289000000
discontinuedOperations,7000000,7000000,-7000000,19000000
netIncomeFromContinuingOps,3572000000,1075000000,3578000000,2625000000
netIncomeApplicableToCommonShares,3798000000,1269000000,3687000000,2661000000
