Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2898000000,-3090000000,-109000000,944000000
minorityInterest,137000000,134000000,118000000,118000000
netIncome,2813000000,-2680000000,-355000000,3064000000
sellingGeneralAdministrative,391000000,338000000,475000000,574000000
grossProfit,7414000000,1557000000,2665000000,2965000000
ebit,3317000000,73000000,177000000,1390000000
operatingIncome,3317000000,73000000,177000000,1390000000
otherOperatingExpenses,1534000000,-169000000,458000000,-464000000
interestExpense,-388000000,-259000000,-260000000,-287000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,65000000,-547000000,-30000000,230000000
totalRevenue,13117000000,4503000000,6674000000,8439000000
totalOperatingExpenses,9800000000,4430000000,6497000000,7049000000
costOfRevenue,5703000000,2946000000,4009000000,5474000000
totalOtherIncomeExpenseNet,-419000000,-3163000000,-286000000,-446000000
discontinuedOperations,,-128000000.0,-274000000.0,2510000000.0
netIncomeFromContinuingOps,2833000000,-2543000000,-79000000,714000000
netIncomeApplicableToCommonShares,2783000000,-2684000000,-357000000,3056000000
