Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3098000000,1411000000,869000000,2619000000
minorityInterest,,344000000.0,2039000000.0,1941000000.0
netIncome,3288000000,-401000000,1358000000,2447000000
sellingGeneralAdministrative,-479000000,-405000000,-141000000,-260000000
grossProfit,6808000000,7399000000,6426000000,5108000000
ebit,4427000000,3599000000,3356000000,3128000000
operatingIncome,4427000000,3599000000,3356000000,3128000000
otherOperatingExpenses,382000000,1873000000,928000000,580000000
interestExpense,-1331000000,-1367000000,-1477000000,-1279000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,425000000,83000000,209000000,522000000
totalRevenue,13964000000,14172000000,14401000000,11199000000
totalOperatingExpenses,9537000000,10573000000,11045000000,8071000000
costOfRevenue,7156000000,6773000000,7975000000,6091000000
totalOtherIncomeExpenseNet,-1329000000,-2188000000,-2487000000,-509000000
discontinuedOperations,641000000,-1878000000,716000000,452000000
netIncomeFromContinuingOps,2673000000,1328000000,660000000,2097000000
netIncomeApplicableToCommonShares,3220000000,-466000000,1341000000,2447000000
