Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1325000000,1028000000,930000000,1051000000
effectOfAccountingCharges,,,,
incomeBeforeTax,398000000,3345000000,1652000000,2249000000
minorityInterest,,,,
netIncome,13608000000,5667000000,1786000000,2530000000
sellingGeneralAdministrative,3056000000,3069000000,2790000000,3486000000
grossProfit,7770000000,7097000000,5844000000,6627000000
ebit,2958000000,2643000000,1834000000,1821000000
operatingIncome,2958000000,2643000000,1834000000,1821000000
otherOperatingExpenses,422000000,330000000,262000000,247000000
interestExpense,-269000000,-304000000,-311000000,-326000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146000000,858000000,219000000,121000000
totalRevenue,10420000000,8894000000,7429000000,8650000000
totalOperatingExpenses,7462000000,6251000000,5595000000,6829000000
costOfRevenue,2650000000,1797000000,1585000000,2023000000
totalOtherIncomeExpenseNet,-2560000000,702000000,-182000000,428000000
discontinuedOperations,13356000000,3180000000,353000000,402000000
netIncomeFromContinuingOps,252000000,2487000000,1433000000,2128000000
netIncomeApplicableToCommonShares,13608000000,5667000000,1786000000,2530000000
