Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3331000000,1046000000,2307000000,1980000000
minorityInterest,891000000,27000000,25000000,22000000
netIncome,2870000000,684000000,1785000000,1108000000
sellingGeneralAdministrative,9345000000,8658000000,8896000000,8599000000
grossProfit,12391000000,10752000000,11498000000,10857000000
ebit,3046000000,2094000000,2602000000,2258000000
operatingIncome,3046000000,2094000000,2602000000,2258000000
otherOperatingExpenses,,,,
interestExpense,-173000000,-161000000,-133000000,-128000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,456000000,350000000,513000000,863000000
totalRevenue,16215000000,14294000000,14863000000,13683000000
totalOperatingExpenses,13169000000,12200000000,12261000000,11425000000
costOfRevenue,3824000000,3542000000,3365000000,2826000000
totalOtherIncomeExpenseNet,285000000,-1048000000,-295000000,-278000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2875000000,696000000,1794000000,1117000000
netIncomeApplicableToCommonShares,2870000000,684000000,1785000000,1108000000
