Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,254000000,226000000,234000000,235000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1082000000,530000000,902000000,1310000000
minorityInterest,84000000,85000000,74000000,75000000
netIncome,857000000,478000000,759000000,1080000000
sellingGeneralAdministrative,383000000,773000000,751000000,693000000
grossProfit,2504000000,1983000000,2234000000,2479000000
ebit,1867000000,984000000,1249000000,1551000000
operatingIncome,1867000000,984000000,1249000000,1551000000
otherOperatingExpenses,,,,
interestExpense,-201000000,-214000000,-221000000,-238000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,215000000,41000000,140000000,226000000
totalRevenue,10476000000,8473000000,9273000000,10151000000
totalOperatingExpenses,8609000000,7489000000,8024000000,8600000000
costOfRevenue,7972000000,6490000000,7039000000,7672000000
totalOtherIncomeExpenseNet,-785000000,-454000000,-347000000,-241000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,867000000,489000000,762000000,1084000000
netIncomeApplicableToCommonShares,857000000,478000000,759000000,1080000000
