Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2912000000,2335000000,2859000000,2667000000
minorityInterest,40000000,42000000,40000000,43000000
netIncome,2303000000,1965000000,2306000000,2203000000
sellingGeneralAdministrative,4179000000,3986000000,4457000000,4269000000
grossProfit,7563000000,7009000000,7815000000,7432000000
ebit,3094000000,2828000000,3062000000,2906000000
operatingIncome,3094000000,2828000000,3062000000,2906000000
otherOperatingExpenses,290000000,195000000,296000000,257000000
interestExpense,-166000000,-175000000,-201000000,-202000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,585000000,345000000,531000000,443000000
totalRevenue,18236000000,16785000000,18372000000,17408000000
totalOperatingExpenses,15142000000,13957000000,15310000000,14502000000
costOfRevenue,10673000000,9776000000,10557000000,9976000000
totalOtherIncomeExpenseNet,-182000000,-493000000,-203000000,-239000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2327000000,1990000000,2328000000,2224000000
netIncomeApplicableToCommonShares,2303000000,1965000000,2306000000,2203000000
