Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,105526000,55921000,40381000,32587000
effectOfAccountingCharges,,,,
incomeBeforeTax,120928000,119410000,90114000,-10229000
minorityInterest,,,,
netIncome,145449000,133995000,161148000,-11627000
sellingGeneralAdministrative,228164000,103621000,75536000,55333000
grossProfit,554422000,345981000,221245000,94445000
ebit,220732000,186439000,105328000,6525000
operatingIncome,220732000,186439000,105328000,6525000
otherOperatingExpenses,,,,
interestExpense,-45152000,-21001000,-9691000,-10693000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-24521000,-14585000,-71034000,1398000
totalRevenue,1382049000,774425000,624333000,316159000
totalOperatingExpenses,1161317000,587986000,519005000,309634000
costOfRevenue,827627000,428444000,403088000,221714000
totalOtherIncomeExpenseNet,-99804000,-67029000,-15214000,-16754000
discontinuedOperations,,,,
netIncomeFromContinuingOps,145449000,133995000,161148000,-11627000
netIncomeApplicableToCommonShares,145449000,133995000,161148000,-11627000
