Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,533392000,378479000,299526000,249773000
minorityInterest,8720000,8720000,8720000,8720000
netIncome,481652000,327160000,261057000,240256000
sellingGeneralAdministrative,645136000,484758000,457433000,373587000
grossProfit,1274447000,926956000,805600000,655991000
ebit,545916000,379324000,302850000,245764000
operatingIncome,545916000,379324000,302850000,245764000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,51740000,51319000,38469000,9517000
totalRevenue,3758144000,2659478000,2293798000,1842912000
totalOperatingExpenses,3212228000,2280154000,1990948000,1597148000
costOfRevenue,2483697000,1732522000,1488198000,1186921000
totalOtherIncomeExpenseNet,-12524000,-845000,-3324000,4009000
discontinuedOperations,,,,
netIncomeFromContinuingOps,481652000,327160000,261057000,240256000
netIncomeApplicableToCommonShares,481652000,327160000,261057000,240256000
