Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1397629000,963353000,1007427000,686070000
minorityInterest,731237000,576786000,692420000,605551000
netIncome,1332850000,913636000,970377000,657535000
sellingGeneralAdministrative,56506000,48305000,52757000,53813000
grossProfit,1515205000,1655320000,1792363000,1698047000
ebit,620427000,786183000,908523000,858509000
operatingIncome,620427000,786183000,908523000,858509000
otherOperatingExpenses,,,,
interestExpense,-281210000,-374012000,-401746000,-424670000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,915000,852000,-2281000,878000
totalRevenue,2463997000,2571705000,2700691000,2577681000
totalOperatingExpenses,1843570000,1785522000,1792168000,1719172000
costOfRevenue,948792000,916385000,908328000,879634000
totalOtherIncomeExpenseNet,777202000,177170000,98904000,-172439000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1396714000,962501000,1009708000,685192000
netIncomeApplicableToCommonShares,1329760000,910546000,967287000,654445000
