Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,515691000,599332000,464448000,413599000
minorityInterest,217571000,215021000,220487000,162246000
netIncome,488554000,568870000,439286000,390153000
sellingGeneralAdministrative,51838000,65388000,54262000,53451000
grossProfit,1070627000,1085696000,1153029000,1068933000
ebit,498723000,494811000,615017000,535598000
operatingIncome,498723000,494811000,615017000,535598000
otherOperatingExpenses,,,,
interestExpense,-203125000,-220633000,-217339000,-220492000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,1552277000,1562260000,1583791000,1485523000
totalOperatingExpenses,1053554000,1067449000,968774000,949925000
costOfRevenue,481650000,476564000,430762000,416590000
totalOtherIncomeExpenseNet,16968000,104521000,-150569000,-121999000
discontinuedOperations,,,,
netIncomeFromContinuingOps,515691000,599332000,464448000,413599000
netIncomeApplicableToCommonShares,488554000,568870000,439286000,390153000
