Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1572269000,1558872000,1190071000,1329491000
minorityInterest,155570000,155570000,155570000,155570000
netIncome,1220527000,1205167000,909053000,1033000000
sellingGeneralAdministrative,-84400000,-44400000,-31300000,-60800000
grossProfit,4751056000,4436338000,4123197000,3974019000
ebit,2077721000,2033134000,1861435000,1760730000
operatingIncome,2077721000,2033134000,1861435000,1760730000
otherOperatingExpenses,1422762000,1288545000,1212404000,1202133000
interestExpense,-582334000,-538452000,-533197000,-498805000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,344223000,346186000,273499000,288972000
totalRevenue,9863085000,8904430000,8526470000,8448201000
totalOperatingExpenses,7785364000,6871296000,6665035000,6687471000
costOfRevenue,5112029000,4468092000,4403273000,4474182000
totalOtherIncomeExpenseNet,-505452000,-474262000,-671364000,-431239000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1228046000,1212686000,916572000,1040519000
netIncomeApplicableToCommonShares,1220527000,1205167000,909053000,1033000000
