Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,271535000,180080000,121878000,97249000
effectOfAccountingCharges,,,,
incomeBeforeTax,471654000,365709000,80646000,55078000
minorityInterest,,,,
netIncome,493507000,349246000,95894000,77491000
sellingGeneralAdministrative,900631000,654987000,332787000,240896000
grossProfit,1674602000,1260880000,547343000,412931000
ebit,502436000,425813000,92678000,74786000
operatingIncome,502436000,425813000,92678000,74786000
otherOperatingExpenses,,,,
interestExpense,-9885000,-42025000,-24320000,-22178000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-21853000,16463000,-15248000,-22413000
totalRevenue,2329114000,1725625000,818379000,603693000
totalOperatingExpenses,1826678000,1299812000,725701000,528907000
costOfRevenue,654512000,464745000,271036000,190762000
totalOtherIncomeExpenseNet,-30782000,-60104000,-12032000,-19708000
discontinuedOperations,,,,
netIncomeFromContinuingOps,493507000,349246000,95894000,77491000
netIncomeApplicableToCommonShares,493507000,349246000,95894000,77454000
