Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2199000000,2327000000,3802000000,2197000000
minorityInterest,402000000,2283000000,2349000000,2306000000
netIncome,1706000000,1963000000,2936000000,2005000000
sellingGeneralAdministrative,-91000000,-53000000,-13000000,47000000
grossProfit,10183000000,9952000000,10273000000,10003000000
ebit,4425000000,4232000000,4531000000,4416000000
operatingIncome,4425000000,4232000000,4531000000,4416000000
otherOperatingExpenses,1766000000,1714000000,1732000000,1783000000
interestExpense,-1571000000,-1635000000,-1616000000,-1554000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,370000000,373000000,774000000,118000000
totalRevenue,36347000000,33039000000,34438000000,35978000000
totalOperatingExpenses,31922000000,28807000000,29907000000,31562000000
costOfRevenue,26164000000,23087000000,24165000000,25975000000
totalOtherIncomeExpenseNet,-2226000000,-1905000000,-729000000,-2219000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1829000000,1954000000,3028000000,2079000000
netIncomeApplicableToCommonShares,1706000000,1963000000,2936000000,2005000000
