Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1924616000,956564000,795794000,818329000
minorityInterest,3565000,3590000,2191000,882000
netIncome,1415492000,696140000,590395000,618199000
sellingGeneralAdministrative,16026000,18436000,44002000,45346000
grossProfit,2216724000,1219724000,1047971000,1074301000
ebit,1909326000,940437000,766692000,796563000
operatingIncome,1909326000,940437000,766692000,796563000
otherOperatingExpenses,240060000,203892000,186327000,178373000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,505771000,258350000,203778000,198539000
totalRevenue,16523517000,9584393000,7942417000,8138365000
totalOperatingExpenses,14614191000,8643956000,7175725000,7341802000
costOfRevenue,14306793000,8364669000,6894446000,7064064000
totalOtherIncomeExpenseNet,15290000,16127000,29102000,21766000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1418845000,698214000,592016000,619790000
netIncomeApplicableToCommonShares,1415492000,696140000,590395000,618199000
