Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,898082000,531392000,462431000,456324000
minorityInterest,669480000,388345000,381733000,371698000
netIncome,827649000,481779000,419967000,415289000
sellingGeneralAdministrative,120987000,124930000,114524000,97409000
grossProfit,1230417000,1019800000,979408000,909807000
ebit,867551000,670426000,645027000,603348000
operatingIncome,867551000,670426000,645027000,603348000
otherOperatingExpenses,,,,
interestExpense,-166183000,-172301000,-191268000,-183123000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,20324000,13810000,11308000,9244000
totalRevenue,1609720000,1378573000,1319728000,1211056000
totalOperatingExpenses,742169000,708147000,674701000,607708000
costOfRevenue,379303000,358773000,340320000,301249000
totalOtherIncomeExpenseNet,30531000,-139034000,-182596000,-147024000
discontinuedOperations,,,,
netIncomeFromContinuingOps,877758000,517582000,451123000,447080000
netIncomeApplicableToCommonShares,826466000,481073000,419287000,414566000
