Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2907000000,-5776000000,362000000,1113000000
minorityInterest,1157000000,1010000000,1657000000,467000000
netIncome,2182000000,-4517000000,240000000,846000000
sellingGeneralAdministrative,146000000,88000000,104000000,65000000
grossProfit,5577000000,2001000000,3034000000,1728000000
ebit,3101000000,513000000,1334000000,1148000000
operatingIncome,3101000000,513000000,1334000000,1148000000
otherOperatingExpenses,1055000000,89000000,142000000,-108000000
interestExpense,-70000000,-250000000,-130000000,-88000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,631000000,-1104000000,47000000,168000000
totalRevenue,6443000000,2671000000,3951000000,2164000000
totalOperatingExpenses,3342000000,2158000000,2617000000,1016000000
costOfRevenue,866000000,670000000,917000000,436000000
totalOtherIncomeExpenseNet,-194000000,-6289000000,-972000000,-35000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2276000000,-4672000000,315000000,945000000
netIncomeApplicableToCommonShares,2182000000,-4517000000,240000000,846000000
