Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1207800000,1132700000,1043700000,987000000
minorityInterest,,,,
netIncome,925000000,859100000,790900000,751900000
sellingGeneralAdministrative,1559800000,1426000000,1458200000,1400200000
grossProfit,2777200000,2567800000,2515400000,2398900000
ebit,1217400000,1141800000,1057200000,998700000
operatingIncome,1217400000,1141800000,1057200000,998700000
otherOperatingExpenses,,,,
interestExpense,-9700000,-9700000,-13900000,-12600000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,282800000,273600000,252800000,235100000
totalRevenue,6010900000,5647300000,5333700000,4965100000
totalOperatingExpenses,4793500000,4505500000,4276500000,3966400000
costOfRevenue,3233700000,3079500000,2818300000,2566200000
totalOtherIncomeExpenseNet,-9600000,-9100000,-13500000,-11700000
discontinuedOperations,,,,
netIncomeFromContinuingOps,925000000,859100000,790900000,751900000
netIncomeApplicableToCommonShares,925000000,859100000,790900000,751900000
