Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1559000000,1129000000,1117000000,1512000000
minorityInterest,,,,
netIncome,1283000000,1079000000,912000000,1348000000
sellingGeneralAdministrative,-311000000,571000000,723000000,144000000
grossProfit,7418000000,7773000000,7690000000,7764000000
ebit,2229000000,1651000000,1836000000,2358000000
operatingIncome,2229000000,1651000000,1836000000,2358000000
otherOperatingExpenses,4198000000,4277000000,3911000000,4126000000
interestExpense,-1114000000,-1037000000,-1007000000,-1097000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,320000000,126000000,213000000,490000000
totalRevenue,10943000000,10607000000,10844000000,11063000000
totalOperatingExpenses,8714000000,8956000000,9008000000,8705000000
costOfRevenue,3525000000,2834000000,3154000000,3299000000
totalOtherIncomeExpenseNet,-670000000,-522000000,-719000000,-846000000
discontinuedOperations,44000000,76000000,8000000,326000000
netIncomeFromContinuingOps,1239000000,1003000000,904000000,1022000000
netIncomeApplicableToCommonShares,1283000000,1079000000,908000000,981000000
