Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,499653000,438418000,408058000,366084000
effectOfAccountingCharges,,,,
incomeBeforeTax,386937000,396397000,541111000,603760000
minorityInterest,,,,
netIncome,331241000,307441000,427734000,453689000
sellingGeneralAdministrative,1172751000,1080752000,952076000,824517000
grossProfit,2116627000,1944210000,1885870000,1799926000
ebit,444223000,425040000,525736000,609325000
operatingIncome,444223000,425040000,525736000,609325000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,55696000,88956000,113377000,150071000
totalRevenue,2603416000,2350822000,2242447000,2161407000
totalOperatingExpenses,2159193000,1925782000,1716711000,1552082000
costOfRevenue,486789000,406612000,356577000,361481000
totalOtherIncomeExpenseNet,-57286000,-28643000,15375000,-5565000
discontinuedOperations,,,,
netIncomeFromContinuingOps,331241000,307441000,427734000,453689000
netIncomeApplicableToCommonShares,331241000,307441000,427734000,453689000
