Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,795000000,260000000,403000000,1089000000
minorityInterest,185000000,187000000,16000000,7000000
netIncome,417000000,158000000,298000000,846000000
sellingGeneralAdministrative,3895000000,3428000000,2597000000,1301000000
grossProfit,5195000000,4204000000,3723000000,2854000000
ebit,1300000000,776000000,1126000000,1553000000
operatingIncome,1300000000,776000000,1126000000,1553000000
otherOperatingExpenses,,,,
interestExpense,-216000000,-339000000,-389000000,-314000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,371000000,96000000,100000000,208000000
totalRevenue,13877000000,12552000000,10333000000,8423000000
totalOperatingExpenses,12577000000,11776000000,9207000000,6870000000
costOfRevenue,8682000000,8348000000,6610000000,5569000000
totalOtherIncomeExpenseNet,-505000000,-516000000,-723000000,-464000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,424000000,164000000,303000000,881000000
netIncomeApplicableToCommonShares,417000000,158000000,298000000,846000000
