Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3517000000,1797000000,3202000000,2765000000
minorityInterest,,,,
netIncome,2770000000,1427000000,2512000000,2193000000
sellingGeneralAdministrative,3568000000,3528000000,3448000000,2962000000
grossProfit,8297000000,6552000000,7893000000,6772000000
ebit,0,0,0,0
operatingIncome,3552000000,1842000000,3248000000,2814000000
otherOperatingExpenses,1177000000,1182000000,1197000000,996000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,747000000,370000000,690000000,572000000
totalRevenue,8297000000,6552000000,7893000000,6772000000
totalOperatingExpenses,4745000000,4710000000,4645000000,3958000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-35000000,-45000000,-46000000,-49000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2770000000,1427000000,2512000000,2193000000
netIncomeApplicableToCommonShares,2652000000,1317000000,2398000000,2095000000
