Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,304700000,287900000,298100000,287700000
effectOfAccountingCharges,,,,
incomeBeforeTax,893800000,729800000,655000000,608400000
minorityInterest,19400000,22400000,29100000,89300000
netIncome,736500000,551500000,477400000,502100000
sellingGeneralAdministrative,713700000,676400000,715100000,703100000
grossProfit,2171700000,2052000000,2083600000,1949400000
ebit,1153300000,1087700000,1070400000,958600000
operatingIncome,1153300000,1087700000,1070400000,958600000
otherOperatingExpenses,,,,
interestExpense,-131100000,-151300000,-160400000,-134500000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,91600000,150900000,111500000,70800000
totalRevenue,5045200000,4642100000,4609800000,4285300000
totalOperatingExpenses,3891900000,3554400000,3539400000,3326700000
costOfRevenue,2873500000,2590100000,2526200000,2335900000
totalOtherIncomeExpenseNet,-259500000,-357900000,-415400000,-350200000
discontinuedOperations,-68200000,-28300000,-63300000,-26100000
netIncomeFromContinuingOps,802200000,578900000,543500000,537600000
netIncomeApplicableToCommonShares,734700000,550100000,475900000,499700000
