Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2918000000,1464000000,2224000000,2170000000
minorityInterest,263000000,322000000,200000000,275000000
netIncome,2150000000,999000000,1595000000,2187000000
sellingGeneralAdministrative,1807000000,1741000000,1419000000,1262000000
grossProfit,4872000000,4496000000,4062000000,3648000000
ebit,2765000000,2497000000,2431000000,2215000000
operatingIncome,2765000000,2497000000,2431000000,2215000000
otherOperatingExpenses,,,,
interestExpense,-395000000,-369000000,-203000000,-43000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,717000000,402000000,581000000,-58000000
totalRevenue,12909000000,12303000000,11389000000,10153000000
totalOperatingExpenses,10144000000,9806000000,8958000000,7938000000
costOfRevenue,8037000000,7807000000,7327000000,6505000000
totalOtherIncomeExpenseNet,153000000,-1033000000,-207000000,-45000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2201000000,1062000000,1643000000,2228000000
netIncomeApplicableToCommonShares,2150000000,999000000,1595000000,2187000000
