Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1828000000,1334000000,1133000000,1051742000
minorityInterest,,,,
netIncome,1478000000,1064000000,930000000,853828000
sellingGeneralAdministrative,2784000000,2124000000,1845000000,1623759000
grossProfit,4975000000,3760000000,3279000000,2968461000
ebit,0,0,0,0
operatingIncome,1912000000,1405000000,1172000000,1109864000
otherOperatingExpenses,279000000,231000000,262000000,234838000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,350000000,270000000,203000000,197914000
totalRevenue,4975000000,3760000000,3279000000,2968461000
totalOperatingExpenses,3063000000,2355000000,2107000000,1858597000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-84000000,-71000000,-39000000,-58122000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1478000000,1064000000,930000000,853828000
netIncomeApplicableToCommonShares,1379000000,1005000000,881000000,796103000
