Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,269081000,135888000,360542000,249026000
minorityInterest,296254000,222310000,240549000,257647000
netIncome,261498000,131706000,353866000,241907000
sellingGeneralAdministrative,57337000,48112000,50181000,41535000
grossProfit,643333000,543702000,642445000,632103000
ebit,306020000,240563000,352506000,346323000
operatingIncome,306020000,240563000,352506000,346323000
otherOperatingExpenses,,,,
interestExpense,-127698000,-136289000,-109623000,-110154000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,952469000,827432000,933776000,912038000
totalOperatingExpenses,646449000,586869000,581270000,565715000
costOfRevenue,309136000,283730000,291331000,279935000
totalOtherIncomeExpenseNet,-36939000,-104675000,8036000,-97297000
discontinuedOperations,,,,
netIncomeFromContinuingOps,269081000,135888000,360542000,249026000
netIncomeApplicableToCommonShares,252245000,122672000,344817000,232935000
