Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,17780000000,-1116000000,-640000000,4345000000
minorityInterest,103000000,121000000,45000000,134000000
netIncome,17937000000,-1279000000,47000000,3677000000
sellingGeneralAdministrative,5918000000,10124000000,12763000000,9781000000
grossProfit,16507000000,6123000000,12876000000,14835000000
ebit,10589000000,-4001000000,113000000,5054000000
operatingIncome,10589000000,-4001000000,113000000,5054000000
otherOperatingExpenses,,,,
interestExpense,-1803000000,-1651000000,-1049000000,-1228000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-130000000,160000000,-724000000,650000000
totalRevenue,136341000000,127144000000,155900000000,160338000000
totalOperatingExpenses,125752000000,131145000000,155787000000,155284000000
costOfRevenue,119834000000,121021000000,143024000000,145503000000
totalOtherIncomeExpenseNet,7191000000,2885000000,-753000000,-709000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,17910000000,-1276000000,84000000,3695000000
netIncomeApplicableToCommonShares,17937000000,-1279000000,47000000,3677000000
