Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3873000000,3738000000,4202000000,4085000000
minorityInterest,,,,
netIncome,3257000000,3167000000,3484000000,3345000000
sellingGeneralAdministrative,2027000000,2113000000,2430000000,2253000000
grossProfit,6408000000,6325000000,6987000000,6657000000
ebit,4381000000,4212000000,4557000000,4404000000
operatingIncome,4381000000,4212000000,4557000000,4404000000
otherOperatingExpenses,,,,
interestExpense,-431000000,-489000000,-472000000,-374000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,616000000,571000000,718000000,727000000
totalRevenue,38469000000,37925000000,39350000000,36193000000
totalOperatingExpenses,34088000000,33713000000,34793000000,31789000000
costOfRevenue,32061000000,31600000000,32363000000,29536000000
totalOtherIncomeExpenseNet,-508000000,-474000000,-355000000,-319000000
discontinuedOperations,,,,-13000000.0
netIncomeFromContinuingOps,3257000000,3167000000,3484000000,3358000000
netIncomeApplicableToCommonShares,3257000000,3167000000,3484000000,3345000000
