Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,2497000000,2565000000,3118000000,3415000000
effectOfAccountingCharges,,,,
incomeBeforeTax,-3682000000,5970000000,-55000000,-20988000000
minorityInterest,1302000000,1522000000,1545000000,20500000000
netIncome,-6520000000,5704000000,-4979000000,-22355000000
sellingGeneralAdministrative,13210000000,14203000000,15790000000,11450000000
grossProfit,18411000000,16136000000,22461000000,21576000000
ebit,2704000000,-632000000,3553000000,6711000000
operatingIncome,2704000000,-632000000,3553000000,6711000000
otherOperatingExpenses,,,,
interestExpense,-1876000000,-2068000000,-2927000000,-2415000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-286000000,-487000000,552000000,93000000
totalRevenue,74196000000,75834000000,90221000000,97012000000
totalOperatingExpenses,71492000000,76466000000,86668000000,90301000000
costOfRevenue,55785000000,59698000000,67760000000,75436000000
totalOtherIncomeExpenseNet,-6386000000,6602000000,-3608000000,-27699000000
discontinuedOperations,-3195000000,-911000000,-4306000000,-1363000000
netIncomeFromContinuingOps,-3396000000,6457000000,-607000000,-21081000000
netIncomeApplicableToCommonShares,-6766000000,5066000000,-5440000000,-22809000000
