Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,5363000000,4873000000,4055000000,3920000000
effectOfAccountingCharges,,,,
incomeBeforeTax,8278000000,1669000000,5160000000,7799000000
minorityInterest,-5000000,19000000,125000000,147000000
netIncome,6225000000,123000000,5386000000,5455000000
sellingGeneralAdministrative,5246000000,4908000000,4381000000,4056000000
grossProfit,21779000000,20998000000,17774000000,17274000000
ebit,11170000000,11217000000,9338000000,9298000000
operatingIncome,11170000000,11217000000,9338000000,9298000000
otherOperatingExpenses,,,,
interestExpense,-1001000000,-984000000,-995000000,-1077000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2077000000,1580000000,-204000000,2339000000
totalRevenue,27305000000,24689000000,22449000000,22127000000
totalOperatingExpenses,16135000000,13472000000,13111000000,12829000000
costOfRevenue,5526000000,3691000000,4675000000,4853000000
totalOtherIncomeExpenseNet,-2892000000,-9548000000,-4178000000,-1499000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6201000000,89000000,5364000000,5460000000
netIncomeApplicableToCommonShares,6225000000,123000000,5386000000,5455000000
