Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,994000000,907000000,1001000000,987000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2397000000,623000000,1216000000,1503000000
minorityInterest,212000000,191000000,90000000,94000000
netIncome,1906000000,512000000,960000000,1066000000
sellingGeneralAdministrative,1727000000,1589000000,1649000000,1873000000
grossProfit,5143000000,3974000000,4423000000,4558000000
ebit,2293000000,1357000000,1660000000,1604000000
operatingIncome,2293000000,1357000000,1660000000,1604000000
otherOperatingExpenses,,,,
interestExpense,-300000000,-276000000,-221000000,-191000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,491000000,111000000,256000000,437000000
totalRevenue,14082000000,11303000000,11503000000,11290000000
totalOperatingExpenses,11789000000,9946000000,9843000000,9686000000
costOfRevenue,8939000000,7329000000,7080000000,6732000000
totalOtherIncomeExpenseNet,104000000,-734000000,-444000000,-101000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1906000000,512000000,960000000,1066000000
netIncomeApplicableToCommonShares,1079000000,414000000,862000000,968000000
