Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,912390000,896684000,931279000,863671000
minorityInterest,,,,
netIncome,744959000,731773000,760790000,701466000
sellingGeneralAdministrative,10000000,9800000,9500000,9000000
grossProfit,1317905000,1284426000,1320410000,1233332000
ebit,1004015000,986663000,1023943000,953747000
operatingIncome,1004015000,986663000,1023943000,953747000
otherOperatingExpenses,273618000,252071000,242124000,230793000
interestExpense,-83486000,-86704000,-84306000,-90076000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,167431000,164911000,170397000,162161000
totalRevenue,5112869000,4737921000,4527532000,4303751000
totalOperatingExpenses,4108854000,3751258000,3503589000,3350004000
costOfRevenue,3794964000,3453495000,3207122000,3070419000
totalOtherIncomeExpenseNet,-91625000,-89979000,-92664000,-91076000
discontinuedOperations,,,-92000.0,-44000.0
netIncomeFromContinuingOps,744959000,731773000,760882000,701510000
netIncomeApplicableToCommonShares,744959000,731773000,760790000,701466000
