Breakdown,2021-12-25,2020-12-26,2019-12-28,2018-12-29
researchDevelopment,840024000,705685000,605366000,567805000
effectOfAccountingCharges,,,,
incomeBeforeTax,1206796000,1103410000,987222000,823247000
minorityInterest,,,,
netIncome,1082200000,992324000,952486000,694080000
sellingGeneralAdministrative,831815000,721411000,683024000,633571000
grossProfit,2890459000,2481336000,2233976000,1979719000
ebit,1218620000,1054240000,945586000,778343000
operatingIncome,1218620000,1054240000,945586000,778343000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124596000,111086000,34736000,129167000
totalRevenue,4982795000,4186573000,3757505000,3347444000
totalOperatingExpenses,3764175000,3132333000,2811919000,2569101000
costOfRevenue,2092336000,1705237000,1523529000,1367725000
totalOtherIncomeExpenseNet,-11824000,49170000,41636000,44904000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1082200000,992324000,952486000,694080000
netIncomeApplicableToCommonShares,1082200000,992324000,952486000,694080000
