Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,27044000000,12479000000,10583000000,12481000000
minorityInterest,840000000,1640000000,1713000000,1568000000
netIncome,21635000000,9459000000,8466000000,10459000000
sellingGeneralAdministrative,20901000000,15976000000,15437000000,15091000000
grossProfit,52699000000,35974000000,30801000000,31427000000
ebit,0,0,0,0
operatingIncome,27578000000,15899000000,11823000000,13325000000
otherOperatingExpenses,2205000000,2197000000,1837000000,1683000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5409000000,3020000000,2117000000,2022000000
totalRevenue,58982000000,41462000000,35481000000,35942000000
totalOperatingExpenses,31404000000,25563000000,23658000000,22617000000
costOfRevenue,6283000000,5488000000,4680000000,4515000000
totalOtherIncomeExpenseNet,-534000000,-3420000000,-1240000000,-844000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,21635000000,9459000000,8466000000,10459000000
netIncomeApplicableToCommonShares,21116000000,8890000000,7871000000,9841000000
