Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1485000000,947000000,1209000000,1081000000
minorityInterest,286000000,265000000,205000000,172000000
netIncome,1043000000,695000000,849000000,782000000
sellingGeneralAdministrative,3088000000,2938000000,2912000000,2909000000
grossProfit,4720000000,4238000000,4397000000,4348000000
ebit,1569000000,1240000000,1407000000,1347000000
operatingIncome,1569000000,1240000000,1407000000,1347000000
otherOperatingExpenses,,,,
interestExpense,-87000000,-93000000,-79000000,-82000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,371000000,192000000,314000000,258000000
totalRevenue,13022000000,11797000000,11486000000,11221000000
totalOperatingExpenses,11453000000,10557000000,10079000000,9874000000
costOfRevenue,8302000000,7559000000,7089000000,6873000000
totalOtherIncomeExpenseNet,-84000000,-293000000,-198000000,-266000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1114000000,755000000,895000000,823000000
netIncomeApplicableToCommonShares,1043000000,695000000,849000000,782000000
