Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1252000000,-3220000000,-1122000000,1814000000
minorityInterest,15000000,9000000,13000000,22000000
netIncome,1457000000,-2945000000,-1131000000,1656000000
sellingGeneralAdministrative,204000000,182000000,227000000,254000000
grossProfit,2016000000,1040000000,2285000000,2986000000
ebit,1741000000,577000000,1481000000,2732000000
operatingIncome,1741000000,577000000,1481000000,2732000000
otherOperatingExpenses,71000000,281000000,577000000,577000000
interestExpense,-529000000,-543000000,-592000000,-598000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-216000000,-278000000,7000000,157000000
totalRevenue,15295000000,14445000000,22408000000,23995000000
totalOperatingExpenses,13554000000,13868000000,20927000000,21263000000
costOfRevenue,13279000000,13405000000,20123000000,21009000000
totalOtherIncomeExpenseNet,-489000000,-3797000000,-2603000000,-918000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1468000000,-2942000000,-1129000000,1657000000
netIncomeApplicableToCommonShares,1457000000,-2945000000,-1131000000,1656000000
