Breakdown,2021-12-26,2020-12-27,2019-12-29,2018-12-30
researchDevelopment,315700000,259500000,262200000,246165000
effectOfAccountingCharges,,,,
incomeBeforeTax,581900000,322100000,594300000,270402000
minorityInterest,61100000,64400000,64400000,64400000
netIncome,428700000,222500000,520500000,220434000
sellingGeneralAdministrative,1933300000,1657500000,1441400000,1476226000
grossProfit,3243900000,2789400000,2412300000,2333402000
ebit,878100000,727700000,661400000,582308000
operatingIncome,878100000,727700000,661400000,582308000
otherOperatingExpenses,,,,
interestExpense,-179700000,-202100000,-121500000,-90826000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146600000,96700000,73800000,49968000
totalRevenue,6420400000,5465400000,4720200000,4579646000
totalOperatingExpenses,5542300000,4737700000,4058800000,3997338000
costOfRevenue,3176500000,2676000000,2307900000,2246244000
totalOtherIncomeExpenseNet,-296200000,-405600000,-67100000,-311906000
discontinuedOperations,,,,
netIncomeFromContinuingOps,435300000,225400000,520500000,220434000
netIncomeApplicableToCommonShares,428700000,222500000,520500000,220434000
