Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9833000000,5430000000,5244000000,5335000000
minorityInterest,2422000000,2320000000,2243000000,2032000000
netIncome,6956000000,3754000000,3505000000,3787000000
sellingGeneralAdministrative,989000000,923000000,855000000,855000000
grossProfit,22492000000,19290000000,19295000000,17528000000
ebit,9678000000,7262000000,7218000000,6642000000
operatingIncome,9678000000,7262000000,7218000000,6642000000
otherOperatingExpenses,8972000000,8384000000,8626000000,8608000000
interestExpense,-1566000000,-1584000000,-1824000000,-1755000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2112000000,1043000000,1099000000,946000000
totalRevenue,58752000000,51533000000,51336000000,46677000000
totalOperatingExpenses,49074000000,44271000000,44118000000,40035000000
costOfRevenue,36260000000,32243000000,32041000000,29149000000
totalOtherIncomeExpenseNet,155000000,-1832000000,-1974000000,-1307000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7721000000,4387000000,4145000000,4389000000
netIncomeApplicableToCommonShares,6956000000,3754000000,3505000000,3787000000
